                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3011,                 1.7058,                0.93525,                 1.2695,                      1,                0.63153,                0.79887,                0.57782,                0.66987,                0.41463,                0.40805,                0.26437,                 1.0147,                 1.2877,                0.84681,                 1.1734,              0.0017386,              0.0017386,              0.0017386
                     36,                 1.2632,                 1.7752,                 0.8924,                 1.2236,                0.89029,                 0.7561,                 0.8356,                0.57275,                0.63154,                0.39024,                0.36077,                0.21023,                 1.0994,                 1.3493,                0.93705,                 1.1899,              0.0017307,              0.0017307,              0.0017307
                     37,                 1.1904,                  1.687,                0.84764,                 1.1982,                0.87987,                0.71473,                 0.8219,                  0.575,                0.70994,                0.43902,                0.43277,                0.22729,                  1.092,                 1.4124,                0.87702,                 1.1682,              0.0017228,              0.0017228,              0.0017228
                     38,                 1.2629,                 1.7265,                0.85188,                 1.2491,                0.86204,                0.65854,                0.76858,                0.54647,                0.57079,                0.41463,                0.38239,                0.22924,                 1.1195,                 1.3783,                0.93944,                 1.1755,              0.0017149,              0.0017149,              0.0017149
                     39,                 1.1962,                 1.6428,                0.85468,                 1.1933,                0.88107,                0.65854,                0.80497,                0.58749,                0.62024,                0.36585,                0.36263,                0.25158,                 1.0926,                 1.3498,                0.81748,                 1.1786,               0.001707,               0.001707,               0.001707
                     40,                 1.2681,                 1.7568,                 0.8668,                 1.2628,                0.77696,                0.76482,                0.80163,                0.58797,                0.79359,                0.36585,                0.42775,                0.24152,                 1.0126,                 1.4969,                0.77022,                  1.121,               0.001699,               0.001699,               0.001699
                     41,                 1.1715,                 1.6208,                0.81166,                  1.191,                0.75986,                0.69476,                0.71679,                0.46137,                 0.6302,                0.39024,                0.42264,                0.19472,                 1.4906,                 1.5803,                 1.0248,                 1.3052,              0.0016911,              0.0016911,              0.0016911
                     42,                 1.1775,                 1.6864,                0.82566,                 1.1978,                0.93536,                0.70596,                0.80229,                0.59073,                0.69972,                0.45488,                0.43051,                 0.2696,                0.99309,                 1.3713,                0.68493,                  1.113,              0.0016832,              0.0016832,              0.0016832
                     43,                 1.2136,                  1.729,                0.82439,                 1.2133,                0.93298,                0.67921,                0.79726,                0.57407,                0.66573,                0.43902,                0.41226,                0.27245,                 1.0395,                  1.309,                0.72257,                 1.1438,              0.0016753,              0.0016753,              0.0016753
                     44,                 1.1185,                 1.5849,                0.78832,                 1.1812,                0.84603,                0.70732,                0.81916,                0.60628,                 0.4703,                0.39024,                0.34726,                0.21171,                 1.0026,                 1.3408,                0.70018,                 1.1453,              0.0016674,              0.0016674,              0.0016674
